a,ə
rel,rel*
relate,rɪˈleɪt
related,rɪˈleɪtɪd
relates,rɪˈleɪts
relating,rɪˈleɪtɪŋ
relation,riˈleɪʃən
relations,riˈleɪʃənz
relationship,riˈleɪʃənˌʃɪp
relationships,riˈleɪʃənˌʃɪps
relative,ˈrɛlətɪv
relatively,ˈrɛlətɪvli
relatives,ˈrɛlətɪvz
relax,rɪˈlæks
relaxation,ˌrilækˈseɪʃən
relay,ˈriˌleɪ
release,riˈlis
released,riˈlist
releases,rɪˈlisɪz
relevance,ˈrɛləvəns
relevant,ˈrɛləvənt
reliability,riˌlaɪəˈbɪləti
reliable,rɪˈlaɪəbəl
reliance,rɪˈlaɪəns
relief,rɪˈlif
religion,rɪˈlɪʤən
religions,riˈlɪʤənz
religious,rɪˈlɪʤəs
reload,riˈloʊd
relocation,ˌriˈloʊˈkeɪʃən
rely,rɪˈlaɪ
relying,riˈlaɪɪŋ
remain,rɪˈmeɪn
remainder,rɪˈmeɪndər
remained,rɪˈmeɪnd
remaining,rɪˈmeɪnɪŋ
remains,rɪˈmeɪnz
remark,rɪˈmɑrk
remarkable,rɪˈmɑrkəbəl
remarks,rɪˈmɑrks
remedies,ˈrɛmədiz
remedy,ˈrɛmədi
remember,rɪˈmɛmbər
remembered,rɪˈmɛmbərd
remind,riˈmaɪnd
reminder,riˈmaɪndər
remix,remix*
remote,rɪˈmoʊt
removable,rɪˈmuvəbəl
removal,rɪˈmuvəl
remove,riˈmuv
removed,riˈmuvd
removing,riˈmuvɪŋ
renaissance,ˌrɛnəˈsɑns
render,ˈrɛndər
rendered,ˈrɛndərd
rendering,ˈrɛndərɪŋ
renew,rɪˈnu
renewable,riˈnuəbəl
renewal,rɪˈnuəl
reno,ˈrinoʊ
rent,rɛnt
rental,ˈrɛntəl
rentals,ˈrɛntəlz
rentcom,rentcom*
rep,rɛpriˈzɛtətɪv
repair,rɪˈpɛr
repairs,rɪˈpɛrz
repeat,rɪˈpit
repeated,rɪˈpitɪd
replace,ˌriˈpleɪs
replaced,ˌriˈpleɪst
replacement,rɪˈpleɪsmənt
replacing,rɪˈpleɪsɪŋ
replica,ˈrɛplɪkə
replication,ˌrɛplɪˈkeɪʃən
replied,rɪˈplaɪd
replies,rɪˈplaɪz
reply,rɪˈplaɪ
report,rɪˈpɔrt
reported,ˌriˈpɔrtəd
reporter,rɪˈpɔrtər
reporters,rɪˈpɔrtərz
reporting,rɪˈpɔrtɪŋ
reports,rɪˈpɔrts
repository,riˈpɑzəˌtɔri
represent,ˌrɛprɪˈzɛnt
representation,ˌrɛprəzɛnˈteɪʃən
representations,ˌrɛprəzənˈteɪʃənz
representative,ˌrɛprɪˈzɛnətɪv
representatives,ˌrɛprɪˈzɛnətɪvz
represented,ˌrɛprɪˈzɛnɪd
representing,ˌrɛprɪˈzɛnɪŋ
represents,ˌrɛprɪˈzɛnts
reprint,riˈprɪnt
reprints,riˈprɪnts
reproduce,ˌriprəˈdus
reproduced,ˌriprəˈdust
reproduction,ˌriprəˈdəkʃən
reproductive,ˌriprəˈdəktɪv
republic,riˈpəblɪk
republican,rɪˈpəblɪkən
republicans,rɪˈpəblɪkənz
reputation,ˌrɛpjəˈteɪʃən
request,rɪkˈwɛst
requested,rɪkˈwɛstɪd
requesting,rɪkˈwɛstɪŋ
requests,rɪkˈwɛsts
require,ˌrikˈwaɪər
required,rikˈwaɪərd
requirement,rɪkˈwaɪrmənt
requirements,rɪkˈwaɪrmənts
requires,rikˈwaɪərz
requiring,rikˈwaɪərɪŋ
res,reɪz
rescue,ˈrɛskju
research,ˈrisərʧ
researcher,ˈrisərʧər
researchers,ˈrisərʧərz
reseller,riˈsɛlər
reservation,ˌrɛzərˈveɪʃən
reservations,ˌrɛzərˈveɪʃənz
reserve,rɪˈzərv
reserved,rɪˈzərvd
reserves,rɪˈzərvz
reservoir,ˈrɛzəvˌwɑr
reset,ˈrisɛt
residence,ˈrɛzɪdəns
resident,ˈrɛzɪdənt
residential,ˌrɛzɪˈdɛnʃəl
residents,ˈrɛzɪdənts
resist,rɪˈzɪst
resistance,rɪˈzɪstəns
resistant,rɪˈzɪstənt
resolution,ˌrɛzəˈluʃən
resolutions,ˌrɛzəˈluʃənz
resolve,riˈzɑlv
resolved,riˈzɑlvd
resort,rɪˈzɔrt
resorts,rɪˈzɔrts
resource,ˈrisɔrs
resources,ˈrisɔrsɪz
respect,rɪˈspɛkt
respected,rɪˈspɛktɪd
respective,rɪˈspɛktɪv
respectively,rɪˈspɛktɪvli
respiratory,ˈrɛspərəˌtɔri
respond,rɪˈspɑnd
responded,rɪˈspɑndɪd
respondent,rɪˈspɑndənt
respondents,rɪˈspɑndənts
responding,rɪˈspɑndɪŋ
response,rɪˈspɑns
responses,rɪˈspɑnsɪz
responsibilities,riˌspɑnsəˈbɪlətiz
responsibility,riˌspɑnsəˈbɪləti
responsible,riˈspɑnsəbəl
rest,rɛst
restaurant,ˈrɛˌstrɑnt
restaurants,ˈrɛˌstrɑnts
restoration,ˌrɛstərˈeɪʃən
restore,rɪˈstɔr
restored,rɪˈstɔrd
restrict,riˈstrɪkt
restricted,riˈstrɪktɪd
restriction,riˈstrɪkʃən
restrictions,riˈstrɪkʃənz
restructuring,riˈstrəkʧərɪŋ
result,rɪˈzəlt
resulted,rɪˈzəltɪd
resulting,rɪˈzəltɪŋ
results,rɪˈzəlts
resume,ˈrɛzəˌmeɪ
resumes,ˈrɛzəˌmeɪz
retail,ˈriˌteɪl
retailer,ˈriˌteɪlər
retailers,ˈriˌteɪlərz
retain,rɪˈteɪn
retained,rɪˈteɪnd
retention,riˈtɛnʃən
retired,rɪˈtaɪrd
retirement,rɪˈtaɪərmənt
retreat,riˈtrit
retrieval,rɪˈtrivəl
retrieve,rɪˈtriv
retrieved,riˈtrivd
retro,ˈrɛtroʊ
return,rɪˈtərn
returned,rɪˈtərnd
returning,rɪˈtərnɪŋ
returns,rɪˈtərnz
reunion,riˈunjən
reuters,ˈrɔɪtərz
rev,rɛv
reveal,rɪˈvil
revealed,rɪˈvild
reveals,rɪˈvilz
revelation,ˌrɛvəˈleɪʃən
revenge,riˈvɛnʤ
revenue,ˈrɛvəˌnu
revenues,ˈrɛvəˌnuz
reverse,rɪˈvərs
review,ˌrivˈju
reviewed,rivˈjud
reviewer,rivˈjuər
reviewing,rivˈjuɪŋ
reviews,rəvˈjuz
revised,rɪˈvaɪzd
revision,riˈvɪʒən
revisions,riˈvɪʒənz
revolution,ˌrɛvəˈluʃən
revolutionary,ˌrɛvəˈluʃəˌnɛri
reward,rɪˈwɔrd
rewards,rɪˈwɔrdz
reynolds,ˈrɛnəldz
rf,rf*
rfc,rfc*
rg,rg*
rh,rh*
rhode,roʊd
rhythm,ˈrɪðəm
ri,ri*
ribbon,ˈrɪbən
rica,ˈrikə
rice,raɪs
rich,rɪʧ
richard,ˈrɪʧərd
richards,ˈrɪʧərdz
richardson,ˈrɪʧərdsən
richmond,ˈrɪʧmənd
rick,rɪk
rico,ˈrikoʊ
rid,rɪd
ride,raɪd
rider,ˈraɪdər
riders,ˈraɪdərz
rides,raɪdz
ridge,rɪʤ
riding,ˈraɪdɪŋ
right,raɪt
rights,raɪts
rim,rɪm
ring,rɪŋ
rings,rɪŋz
ringtone,ringtone*
ringtones,ringtones*
rio,ˈrioʊ
rip,rɪp
ripe,raɪp
rise,raɪz
rising,ˈraɪzɪŋ
risk,rɪsk
risks,rɪsks
river,ˈrɪvər
rivers,ˈrɪvərz
riverside,ˈrɪvərˌsaɪd
rj,rj*
rl,rl*
rm,rm*
rn,rn*
rna,rna*
ro,roʊ
road,roʊd
roads,roʊdz
rob,rɑb
robert,ˈrɑbərt
roberts,ˈrɑbərts
robertson,ˈrɑbərtsən
robin,ˈrɑbɪn
robinson,ˈrɑbənsən
robot,ˈroʊˌbət
robots,ˈroʊˌbəts
robust,roʊˈbəst
rochester,ˈrɑˌʧɛstər
rock,rɑk
rocket,ˈrɑkət
rocks,rɑks
rocky,ˈrɑki
rod,rɑd
roger,ˈrɑʤər
rogers,ˈrɑʤərz
roland,ˈroʊlənd
role,roʊl
roles,roʊlz
roll,roʊl
rolled,roʊld
roller,ˈroʊlər
rolling,ˈroʊlɪŋ
rolls,roʊlz
rom,rɑm
roman,ˈroʊmən
romance,ˈroʊmæns
romania,roʊˈmeɪniə
romantic,roʊˈmæntɪk
rome,roʊm
ron,rɑn
ronald,ˈrɑnəld
roof,rʊf
room,rum
roommate,ˈruˌmeɪt
roommates,ˈruˌmeɪts
rooms,rumz
root,rut
roots,ruts
rope,roʊp
rosa,ˈroʊzə
rose,roʊz
roses,ˈroʊzɪz
ross,rɔs
roster,ˈrɑstər
rotary,ˈroʊtəri
rotation,roʊˈteɪʃən
rouge,ruʒ
rough,rəf
roughly,ˈrəfli
roulette,ruˈlɛt
round,raʊnd
rounds,raʊnz
route,rut
router,ˈrutər
routers,ˈrutərz
routes,rʊts
routine,ruˈtin
routines,ruˈtinz
routing,ˈrutɪŋ
rover,ˈroʊvər
row,roʊ
rows,roʊz
roy,rɔɪ
royal,rɔɪəl
royalty,ˈrɔɪəlti
rp,rp*
rpg,rpg*
rpm,ˈɑrˈpiˈɛm
rr,rr*
rrp,rrp*
rs,rs*
rss,rss*
rt,rt*
ru,ˈɑˈrju
rubber,ˈrəbər
ruby,ˈrubi
rug,rəg
rugby,ˈrəgbi
rugs,rəgz
rule,rul
ruled,ruld
rules,rulz
ruling,ˈrulɪŋ
run,rən
runner,ˈrənər
running,ˈrənɪŋ
runs,rənz
runtime,runtime*
rural,ˈrʊrəl
rush,rəʃ
russell,ˈrəsəl
russia,ˈrəʃə
russian,ˈrəʃən
ruth,ruθ
rv,rv*
rw,rw*
rwanda,ˌruˈɑndə
rx,rx*
ryan,raɪən
s,ɛs
sa,sɑ
sacramento,ˌsækrəˈmɛntoʊ
sacred,ˈseɪkrɪd
sacrifice,ˈsækrəˌfaɪs
sad,sæd
saddam,ˈsɑdəm
safari,səˈfɑri
safe,seɪf
safely,ˈseɪfli
safer,ˈseɪfər
safety,ˈseɪfti
sage,seɪʤ
sagem,sagem*
said,sɛd
sail,seɪl
sailing,ˈseɪlɪŋ
saint,seɪnt
saints,seɪnts
sake,seɪk
salad,ˈsæləd
salaries,ˈsæləriz
salary,ˈsæləri
sale,seɪl
salem,ˈseɪləm
sales,seɪlz
sally,ˈsæli
salmon,ˈsæmən
salon,səˈlɑn
salt,sɔlt
salvador,ˈsælvəˌdɔr
salvation,sælˈveɪʃən
sam,sæm
samba,ˈsɑmbə
same,seɪm
samoa,səˈmoʊə
sample,ˈsæmpəl
samples,ˈsæmpəlz
sampling,ˈsæmplɪŋ
samsung,ˈsæmˌsəŋ
samuel,ˈsæmjul
san,sæn
sand,sænd
sandra,ˈsændrə
sandwich,ˈsænwɪʧ
sandy,ˈsændi
sans,sænz
santa,ˈsænə
sanyo,ˈsɑnjoʊ
sao,saʊ
sap,sæp
sapphire,ˈsæfaɪər
sara,ˈsɛrə
sarah,ˈsɛrə
sas,sæs
saskatchewan,sæˈskæʧəˌwɔn
sat,sæt
satellite,ˈsætəˌlaɪt
satin,ˈsætən
satisfaction,ˌsætɪsˈfækʃən
satisfactory,ˌsætɪsˈfæktəri
satisfied,ˈsætɪsˌfaɪd
satisfy,ˈsætɪsˌfaɪ
saturday,ˈsæˌtɪˌdeɪ
saturn,ˈsætərn
sauce,sɔs
saudi,ˈsɔdi
savage,ˈsævɪʤ
savannah,səˈvænə
save,seɪv
saved,seɪvd
saver,ˈseɪvər
saves,seɪvz
saving,ˈseɪvɪŋ
savings,ˈseɪvɪŋz
saw,sɔ
say,seɪ
saying,seɪɪŋ
says,sɪz
sb,sb*
sbjct,sbjct*
sc,sc*
scale,skeɪl
scales,skeɪlz
scan,skæn
scanned,skænd
scanner,ˈskænər
scanners,ˈskænərz
scanning,ˈskænɪŋ
scary,ˈskɛri
scenario,sɪˈnɛrioʊ
scenarios,sɪˈnɛrioʊz
scene,sin
scenes,sinz
scenic,ˈsinɪk
schedule,ˈskɛʤʊl
scheduled,ˈskɛʤʊld
schedules,ˈskɛʤʊlz
scheduling,ˈskɛʤʊlɪŋ
schema,ˈskimə
scheme,skim
schemes,skimz
scholar,ˈskɑlər
scholars,ˈskɑlərz
scholarship,ˈskɑlərˌʃɪp
scholarships,ˈskɑlərˌʃɪps
school,skul
schools,skulz
sci,ˈɛsˈsiˈaɪ
science,saɪəns
sciences,ˈsaɪənsɪz
scientific,ˌsaɪənˈtɪfɪk
scientist,ˈsaɪəntɪst
scientists,ˈsaɪəntɪsts
scoop,skup
scope,skoʊp
score,skɔr
scored,skɔrd
scores,skɔrz
scoring,ˈskɔrɪŋ
scotia,ˈskoʊʃə
scotland,ˈskɑtlənd
scott,skɑt
scottish,ˈskɑtɪʃ
scout,skaʊt
scratch,skræʧ
screen,skrin
screening,ˈskrinɪŋ
screens,skrinz
screensaver,screensaver*
screensavers,screensavers*
screenshot,screenshot*
screenshots,screenshots*
screw,skru
script,skrɪpt
scripting,scripting*
scripts,skrɪpts
scroll,skroʊl
scsi,scsi*
scuba,ˈskubə
sculpture,ˈskəlpʧər
sd,sd*
se,seɪ
sea,si
seafood,ˈsiˌfud
seal,sil
sealed,sild
sean,ʃɔn
search,sərʧ
searchcom,searchcom*
searched,sərʧt
searches,ˈsərʧɪz
searching,ˈsərʧɪŋ
seas,siz
season,ˈsizən
seasonal,ˈsizənəl
seasons,ˈsizənz
seat,sit
seating,ˈsitɪŋ
seats,sits
seattle,siˈætəl
sec,sɛk
second,ˈsɛkənd
secondary,ˈsɛkənˌdɛri
seconds,ˈsɛkəndz
secret,ˈsikrɪt
secretariat,ˌsɛkrɪˈtɛriət
secretary,ˈsɛkrəˌtɛri
secrets,ˈsikrɪts
section,ˈsɛkʃən
sections,ˈsɛkʃənz
sector,ˈsɛktər
sectors,ˈsɛktərz
secure,sɪˈkjʊr
secured,sɪˈkjʊrd
securely,sɪˈkjʊrli
securities,sɪˈkjʊrətiz
security,sɪˈkjʊrəti
see,si
seed,sid
seeds,sidz
seeing,siɪŋ
seek,sik
seeker,ˈsikər
seekers,ˈsikərz
seeking,ˈsikɪŋ
seeks,siks
seem,sim
seemed,simd
seems,simz
seen,sin
sees,siz
sega,ˈsigə
segment,ˌsɛgˈmɛnt
segments,ˌsɛgˈmɛnts
select,səˈlɛkt
selected,səˈlɛktɪd
selecting,səˈlɛktɪŋ
selection,səˈlɛkʃən
selections,səˈlɛkʃənz
selective,səˈlɛktɪv
self,sɛlf
sell,sɛl
seller,ˈsɛlər
sellers,ˈsɛlərz
selling,ˈsɛlɪŋ
sells,sɛlz
semester,səˈmɛstər
semi,ˈsɛmi
semiconductor,ˌsɛmɪkənˈdəktər
seminar,ˈsɛməˌnɑr
seminars,ˈsɛməˌnɑrz
sen,sɛn
senate,ˈsɛnɪt
senator,ˈsɛnətər
senators,ˈsɛnətərz
send,sɛnd
sender,ˈsɛndər
sending,ˈsɛndɪŋ
sends,sɛndz
senegal,ˌsɛnəˈgɔl
senior,ˈsinjər
seniors,ˈsinjərz
sense,sɛns
sensitive,ˈsɛnsɪtɪv
sensitivity,ˌsɛnsɪˈtɪvɪti
sensor,ˈsɛnsər
sensors,ˈsɛnsərz
sent,sɛnt
sentence,ˈsɛntəns
sentences,ˈsɛntənsɪz
seo,ˈsioʊ
sep,ˈɛˈsiˈpi
separate,ˈsɛpərˌeɪt
separated,ˈsɛpərˌeɪtɪd
separately,ˈsɛpərətli
separation,ˌsɛpərˈeɪʃən
sept,sɛpt
september,sɛpˈtɛmbər
seq,seq*
sequence,ˈsikwəns
sequences,ˈsikwənsɪz
ser,ser*
serbia,ˈsərbiə
serial,ˈsɪˌriəl
series,ˈsɪriz
serious,ˈsɪriəs
seriously,ˈsɪriəsli
serum,ˈsɪrəm
serve,sərv
served,sərvd
server,ˈsərvər
servers,ˈsərvərz
serves,sərvz
service,ˈsərvɪs
services,ˈsərvɪsɪz
serving,ˈsərvɪŋ
session,ˈsɛʃən
sessions,ˈsɛʃənz
set,sɛt
sets,sɛts
setting,ˈsɛtɪŋ
settings,ˈsɛtɪŋz
settle,ˈsɛtəl
settled,ˈsɛtəld
settlement,ˈsɛtəlmənt
setup,ˈsɛˌtəp
seven,ˈsɛvən
seventh,ˈsɛvənθ
several,ˈsɛvərəl
severe,səˈvɪr
sewing,soʊɪŋ
sex,sɛks
sexcam,sexcam*
sexo,sexo*
sexual,ˈsɛkʃuəl
sexuality,ˌsɛkʃuˈæləti
sexually,ˈsɛkʃuəli
sexy,ˈsɛksi
sf,sf*
sg,sg*
sh,sh*
shade,ʃeɪd
shades,ʃeɪdz
shadow,ˈʃæˌdoʊ
shadows,ˈʃæˌdoʊz
shaft,ʃæft
shake,ʃeɪk
shakespeare,ˈʃeɪkˌspir
shakira,ˌʃæˈkirə
shall,ʃæl
shame,ʃeɪm
shanghai,ˈʃæŋˈhaɪ
shannon,ˈʃænən
shape,ʃeɪp
shaped,ʃeɪpt
shapes,ʃeɪps
share,ʃɛr
shared,ʃɛrd
shareholders,ˈʃɛˌrhoʊldərz
shares,ʃɛrz
shareware,ˈʃɛrˌwɛr
sharing,ˈʃɛrɪŋ
shark,ʃɑrk
sharon,ˈʃɛrən
sharp,ʃɑrp
shaved,ʃeɪvd
shaw,ʃɔ
she,ʃi
shed,ʃɛd
sheep,ʃip
sheer,ʃɪr
sheet,ʃit
sheets,ʃits
sheffield,ˈʃɛfild
shelf,ʃɛlf
shell,ʃɛl
shelter,ˈʃɛltər
shemale,shemale*
shemales,shemales*
shepherd,ˈʃɛpərd
sheriff,ˈʃɛrɪf
sherman,ˈʃərmən
shield,ʃild
shift,ʃɪft
shine,ʃaɪn
ship,ʃɪp
shipment,ˈʃɪpmənt
shipments,ˈʃɪpmənts
shipped,ʃɪpt
shipping,ˈʃɪpɪŋ
ships,ʃɪps
shirt,ʃərt
shirts,ʃərts
shit,ʃɪt
shock,ʃɑk
shoe,ʃu
shoes,ʃuz
shoot,ʃut
shooting,ˈʃutɪŋ
shop,ʃɑp
shopper,ˈʃɑpər
shoppercom,shoppercom*
shoppers,ˈʃɑpərz
shopping,ˈʃɑpɪŋ
shoppingcom,shoppingcom*
shops,ʃɑps
shopzilla,shopzilla*
shore,ʃɔr
short,ʃɔrt
shortcuts,ˈʃɔrtˌkəts
shorter,ˈʃɔrtər
shortly,ˈʃɔrtli
shorts,ʃɔrts
shot,ʃɑt
shots,ʃɑts
should,ʃʊd
shoulder,ˈʃoʊldər
show,ʃoʊ
showcase,ˈʃoʊˌkeɪs
showed,ʃoʊd
shower,ʃaʊər
showers,ʃaʊərz
showing,ʃoʊɪŋ
shown,ʃoʊn
shows,ʃoʊz
showtimes,showtimes*
shut,ʃət
shuttle,ˈʃətəl
si,si
sic,sɪk
sick,sɪk
side,saɪd
sides,saɪdz
sie,si
siemens,ˈsimənz
sierra,siˈɛrə
sig,sɪg
sight,saɪt
sigma,ˈsɪgmə
sign,saɪn
signal,ˈsɪgnəl
signals,ˈsɪgnəlz
signature,ˈsɪgnəʧər
signatures,ˈsɪgnəʧərz
signed,saɪnd
significance,sɪgˈnɪfɪkəns
significant,sɪgˈnɪfɪkənt
significantly,sɪgˈnɪfɪkəntli
signing,ˈsaɪnɪŋ
signs,saɪnz
signup,signup*
silence,ˈsaɪləns
silent,ˈsaɪlənt
silicon,ˈsɪləkən
silk,sɪlk
silly,ˈsɪli
silver,ˈsɪlvər
sim,sɪm
similar,ˈsɪmələr
similarly,ˈsɪmələrli
simon,ˈsaɪmən
simple,ˈsɪmpəl
simplified,ˈsɪmpləˌfaɪd
simply,ˈsɪmpli
simpson,ˈsɪmpsən
simpsons,ˈsɪmpsənz
sims,sɪmz
simulation,ˌsɪmjəˈleɪʃən
simulations,ˌsɪmjəˈleɪʃənz
simultaneously,ˌsaɪməlˈteɪniəsli
sin,sɪn
since,sɪns
sing,sɪŋ
singapore,ˈsɪŋəˌpɔr
singer,ˈsɪŋər
singh,sɪŋ
singing,ˈsɪŋɪŋ
single,ˈsɪŋgəl
singles,ˈsɪŋgəlz
sink,sɪŋk
sip,sɪp
sir,sər
sister,ˈsɪstər
sisters,ˈsɪstərz
sit,sɪt
site,saɪt
sitemap,sitemap*
sites,saɪts
sitting,ˈsɪtɪŋ
situated,ˈsɪʧuˌeɪtɪd
situation,ˌsɪʧuˈeɪʃən
situations,ˌsɪʧuˈeɪʃənz
six,sɪks
sixth,sɪksθ
size,saɪz
sized,saɪzd
sizes,ˈsaɪzɪz
sk,sk*
skating,ˈskeɪtɪŋ
ski,ski
skiing,skiɪŋ
skill,skɪl
skilled,skɪld
skills,skɪlz
skin,skɪn
skins,skɪnz
skip,skɪp
skirt,skərt
skirts,skərts
sku,sku*
sky,skaɪ
skype,skaɪp
sl,sl*
slave,sleɪv
sleep,slip
sleeping,sˈlipɪŋ
sleeps,slips
sleeve,sliv
slide,slaɪd
slides,slaɪdz
slideshow,slideshow*
slight,slaɪt
slightly,sˈlaɪtli
slim,slɪm
slip,slɪp
slope,sloʊp
slot,slɑt
slots,slɑts
slovak,sˈloʊvɑk
slovakia,sˌloʊˈvɑˌkiə
slovenia,sˌloʊˈviniə
slow,sloʊ
slowly,sˈloʊli
slut,slət
sluts,sləts
sm,sm*
small,smɔl
smaller,sˈmɔlər
smart,smɑrt
smell,smɛl
smile,smaɪl
smilies,smilies*
smith,smɪθ
smithsonian,smɪθˈsoʊniən
smoke,smoʊk
smoking,sˈmoʊkɪŋ
smooth,smuð
sms,ˌɛˌsɛˈmɛs
smtp,smtp*
sn,sn*
snake,sneɪk
snap,snæp
snapshot,sˈnæpˌʃɑt
snow,snoʊ
snowboard,sˈnoʊˌbɔrd
so,soʊ
soa,soa*
soap,soʊp
soc,soc*
soccer,ˈsɑkər
social,ˈsoʊʃəl
societies,səˈsaɪɪtiz
society,soʊˈsaɪɪti
sociology,ˌsoʊsiˈɑləʤi
socket,ˈsɑkət
socks,sɑks
sodium,ˈsoʊdiəm
sofa,ˈsoʊfə
soft,sɔft
softball,ˈsɔfˌbɔl
software,ˈsɔfˌwɛr
soil,sɔɪl
sol,sɑl
solar,ˈsoʊlər
solaris,soʊˈlɛrɪs
sold,soʊld
soldier,ˈsoʊlʤər
soldiers,ˈsoʊlʤərz
sole,soʊl
solely,ˈsoʊəli
solid,ˈsɑləd
solo,ˈsoʊˌloʊ
solomon,ˈsɑləmən
solution,səˈluʃən
solutions,səˈluʃənz
solve,sɑlv
solved,sɑlvd
solving,ˈsɑlvɪŋ
soma,ˈsoʊmə
somalia,səˈmɑljə
some,səm
somebody,ˈsəmˌbɑdi
somehow,ˈsəmˌhaʊ
someone,ˈsəmˌwən
somerset,ˈsəmərˌsɛt
something,ˈsəmθɪŋ
sometimes,ˈsəmˌtaɪmz
somewhat,ˈsəmˈwət
somewhere,ˈsəmˌwɛr
son,sən
song,sɔŋ
songs,sɔŋz
sonic,ˈsɑnɪk
sons,sənz
sony,ˈsoʊni
soon,sun
soonest,ˈsunəst
sophisticated,səˈfɪstɪˌkeɪtəd
sorry,ˈsɑri
sort,sɔrt
sorted,ˈsɔrtɪd
sorts,sɔrts
sought,sɔt
soul,soʊl
souls,soʊlz
sound,saʊnd
sounds,saʊnz
soundtrack,ˈsaʊnˌtræk
soup,sup
source,sɔrs
sources,ˈsɔrsəz
south,saʊθ
southampton,ˌsaʊθˈhæmptən
southeast,ˌsaʊˈθist
southern,ˈsəðərn
southwest,ˌsaʊθˈwɛst
soviet,ˈsoʊviˌɛt
sox,sɑks
sp,sp*
spa,spɑ
space,speɪs
spaces,ˈspeɪsɪz
spain,speɪn
spam,spæm
span,spæn
spanish,ˈspænɪʃ
spank,spæŋk
spanking,ˈspæŋkɪŋ
sparc,spɑrk
spare,spɛr
spas,spɑz
spatial,ˈspeɪʃəl
speak,spik
speaker,ˈspikər
speakers,ˈspikərz
speaking,ˈspikɪŋ
speaks,spiks
spears,spɪrz
spec,spɛk
special,ˈspɛʃəl
specialist,ˈspɛʃəlɪst
specialists,ˈspɛʃəlɪsts
specialized,ˈspɛʃəˌlaɪzd
specializing,ˈspɛʃəˌlaɪzɪŋ
specially,ˈspɛʃəli
specials,ˈspɛʃəlz
specialties,ˈspɛʃəltiz
specialty,ˈspɛʃəlti
species,ˈspiʃiz
specific,spɪˈsɪfɪk
specifically,spəˈsɪfɪkli
specification,ˌspɛsɪfɪˈkeɪʃən
specifications,ˌspɛsəfəˈkeɪʃənz
specifics,spɪˈsɪfɪks
specified,ˈspɛsəˌfaɪd
specifies,ˈspɛsəˌfaɪz
specify,ˈspɛsəˌfaɪ
specs,spɛks
spectacular,spɛkˈtækjələr
spectrum,ˈspɛktrəm
speech,spiʧ
speeches,ˈspiʧɪz
speed,spid
speeds,spidz
spell,spɛl
spelling,ˈspɛlɪŋ
spencer,ˈspɛnsər
spend,spɛnd
spending,ˈspɛndɪŋ
spent,spɛnt
sperm,spərm
sphere,sfɪr
spice,spaɪs
spider,ˈspaɪdər
spies,spaɪz
spin,spɪn
spine,spaɪn
spirit,ˈspɪrɪt
spirits,ˈspɪrɪts
spiritual,ˈspɪrɪˌʧuəl
spirituality,ˌspɪrɪˌʧuˈæləˌti
split,splɪt
spoke,spoʊk
spoken,ˈspoʊkən
spokesman,ˈspoʊksmən
sponsor,ˈspɑnsər
sponsored,ˈspɑnsərd
sponsors,ˈspɑnsərz
sponsorship,ˈspɑnsərˌʃɪp
sport,spɔrt
sporting,ˈspɔrtɪŋ
sports,spɔrts
spot,spɑt
spotlight,ˈspɑˌtlaɪt
spots,spɑts
spouse,spaʊs
spray,spreɪ
spread,sprɛd
spreading,ˈsprɛdɪŋ
spring,spərɪŋ
springer,ˈsprɪŋər
springfield,ˈsprɪŋˌfild
springs,spərɪŋz
sprint,sprɪnt
spy,spaɪ
spyware,ˈspaɪˌwɛr
sq,sq*
sql,sql*
squad,skwɑd
square,skwɛr
squirt,skwərt
squirting,skˈwərtɪŋ
sr,ˈsɪstər
src,src*
sri,ˈɛˈsɑˈraɪ
ss,ss*
ssl,ssl*
st,st*
stability,stəˈbɪlɪti
stable,ˈsteɪbəl
stack,stæk
stadium,ˈsteɪdiəm
staff,stæf
staffing,ˈstæfɪŋ
stage,steɪʤ
stages,ˈsteɪʤɪz
stainless,ˈsteɪnləs
stakeholders,ˈsteɪˌkhoʊldərz
stamp,stæmp
stamps,stæmps
stan,stæn
stand,stænd
standard,ˈstændərd
standards,ˈstændərdz
standing,ˈstændɪŋ
standings,ˈstændɪŋz
stands,stændz
stanford,ˈstænfərd
stanley,ˈstænli
star,stɑr
starring,ˈstɑrɪŋ
stars,stɑrz
starsmerchant,starsmerchant*
start,stɑrt
started,ˈstɑrtɪd
starter,ˈstɑrtər
starting,ˈstɑrtɪŋ
starts,stɑrts
startup,ˈstɑrˌtəp
stat,stæt
state,steɪt
stated,ˈsteɪtɪd
statement,ˈsteɪtmənt
statements,ˈsteɪtmənts
states,steɪts
statewide,ˈsteɪtˌwaɪd
static,ˈstætɪk
stating,ˈsteɪtɪŋ
station,ˈsteɪʃən
stationery,ˈsteɪʃəˌnɛri
stations,ˈsteɪʃənz
statistical,stəˈtɪstɪkəl
statistics,stəˈtɪstɪks
stats,stæts
status,ˈstætəs
statute,ˈstæʧut
statutes,ˈstæʧuts
statutory,ˈstæʧəˌtɔri
stay,steɪ
stayed,steɪd
staying,steɪɪŋ
stays,steɪz
std,std*
ste,ste*
steady,ˈstɛdi
steal,stil
steam,stim
steel,stil
steering,ˈstɪrɪŋ
stem,stɛm
step,stɛp
stephanie,ˈstɛfəni
stephen,ˈstivən
steps,stɛps
stereo,ˈstɛriˌoʊ
sterling,ˈstərlɪŋ
steve,stiv
steven,ˈstivən
